timestamps,,,,,Marker
1496178843.155,888.013,786.882,1254.755,1524.916,0
1496178843.155,1052.574,958.482,1733.505,2164.179,0
1496178843.155,435.263,775.799,1341.796,2195.959,0
1496178843.155,283.621,611.161,876.705,1558.631,0
1496178843.156,895.272,793.513,1252.047,1526.468,0
1496178843.156,1052.825,960.535,1724.716,2157.836,0
1496178843.157,435.034,769.987,1344.324,2195.473,0
1496178843.157,273.837,607.249,871.758,1559.091,0
1496178843.157,894.606,795.877,1256.404,1525.361,0
1496178843.157,1052.911,956.384,1725.210,2161.830,0
1496178843.159,432.757,771.902,1339.563,2191.882,0
1496178843.159,275.827,612.190,879.630,1562.981,0
1496178843.185,-705.564,-482.541,65.772,355.850,0
1496178843.185,-864.824,-651.924,-409.521,-276.287,0
1496178843.185,-254.915,-469.000,-32.705,-318.619,0
1496178843.187,-89.471,-297.962,436.553,316.227,0
1496178843.187,-705.463,-488.293,58.412,350.939,0
1496178843.215,-867.229,-654.037,-409.038,-277.259,0
1496178843.215,-255.278,-466.846,-33.547,-319.991,0
1496178843.216,-91.779,-290.886,446.449,314.234,0
1496178843.216,-706.921,-479.249,54.391,348.273,0
1496178843.217,-862.311,-650.754,-399.629,-275.389,0
1496178843.217,-257.245,-465.586,-27.698,-322.751,0
1496178843.245,-91.446,-291.615,439.339,315.827,0
1496178843.245,-710.422,-485.529,56.366,351.362,0
1496178843.245,-866.193,-648.592,-406.982,-273.916,0
1496178843.245,-253.434,-469.030,-32.163,-320.537,0
1496178843.247,-82.407,-293.676,444.781,317.510,0
1496178843.247,-703.436,-477.873,63.217,358.243,0
1496178843.275,-867.049,-648.730,-403.028,-277.656,0
1496178843.275,-257.193,-472.879,-27.256,-322.093,0
1496178843.275,-80.952,-290.759,441.022,318.258,0
1496178843.275,-697.325,-479.620,63.576,360.622,0
1496178843.277,-869.940,-658.353,-409.098,-275.992,0
1496178843.277,-258.195,-477.909,-33.468,-323.791,0
1496178843.305,-82.811,-293.657,449.568,310.472,0
1496178843.305,-703.234,-476.048,57.854,356.227,0
1496178843.306,-869.484,-653.678,-409.300,-279.178,0
1496178843.306,-256.606,-475.395,-29.912,-322.624,0
1496178843.307,-82.485,-294.850,442.544,314.425,0
1496178843.307,-695.896,-470.120,72.638,362.993,0
1496178843.335,-867.827,-649.247,-407.232,-269.346,0
1496178843.335,-260.293,-468.077,-25.383,-318.174,0
1496178843.335,-79.714,-286.970,443.184,315.322,0
1496178843.335,-698.226,-479.380,61.692,355.195,0
1496178843.337,-869.196,-652.702,-410.400,-274.256,0
1496178843.337,-261.311,-479.513,-37.414,-321.659,0
1496178843.365,-80.331,-290.456,442.428,312.068,0
1496178843.365,-697.531,-476.104,62.739,358.460,0
1496178843.365,-877.779,-658.933,-411.694,-279.993,0
1496178843.365,-260.604,-477.344,-33.438,-321.615,0
1496178843.367,-82.620,-293.844,442.757,311.751,0
1496178843.367,-691.752,-468.688,64.687,358.314,0
1496178843.425,-875.183,-656.637,-407.124,-275.573,0
1496178843.425,-259.433,-467.194,-26.153,-321.816,0
1496178843.426,-81.461,-288.503,444.691,308.302,0
1496178843.426,-700.429,-474.773,74.340,359.384,0
