,level_0,index,freq,syl,let,word,imag,conc,meaning,list,id,is_shown
0,29,536,42,3,10,instrument,5.67,6.25,6.72,1,537,1
1,43,684,26,2,5,elbow,6.3,6.94,5.16,1,685,1
2,1,49,40,1,4,tool,5.77,6.8,6.88,1,50,0
3,57,801,1,3,7,acrobat,6.53,6.38,5.67,1,802,0
4,37,601,1,3,11,thistledown,3.83,6.14,4.76,1,602,1
5,6,113,22,3,9,butterfly,6.63,6.93,7.8,1,114,1
6,40,622,9,2,8,friction,4.33,4.26,5.28,1,623,1
7,36,585,100,2,5,party,6.27,5.5,7.08,1,586,1
8,25,448,1,1,4,lice,5.57,6.36,6.56,1,449,0
9,52,760,1,2,6,wigwam,6.23,6.83,5.88,1,761,1
10,48,708,21,4,7,economy,3.2,2.28,5.88,1,709,0
11,7,144,37,2,5,arrow,6.57,7.0,6.8,1,145,0
12,17,377,27,1,4,lime,5.67,6.69,7.12,1,378,0
13,31,541,13,1,5,nymph,5.63,4.4,5.36,1,542,0
14,41,628,7,3,7,episode,3.37,3.91,5.32,1,629,1
15,3,70,11,1,4,dell,3.37,5.58,4.56,1,71,0
16,50,749,6,3,6,malady,3.37,3.72,6.0,1,750,0
17,38,608,12,4,9,hostility,4.23,2.18,5.64,1,609,1
18,9,210,5,3,9,comforter,5.03,5.06,6.19,1,211,1
19,27,522,2,2,7,warbler,5.57,6.63,5.79,1,523,0
20,10,214,7,3,8,lemonade,6.5,6.93,7.13,1,215,1
21,35,576,100,2,8,pleasure,4.8,2.1,5.54,1,577,0
22,0,1,19,3,7,nursery,6.1,6.45,7.4,1,2,0
23,21,410,48,3,6,origin,2.3,3.25,5.32,1,411,0
24,53,768,36,1,4,lawn,6.57,6.96,7.28,1,769,1
25,42,653,50,1,4,cell,6.47,6.63,7.52,1,654,1
26,18,379,2,2,9,storeroom,5.87,6.73,6.52,1,380,0
27,56,796,100,2,6,butter,6.57,6.96,6.91,1,797,1
28,39,621,9,1,6,corpse,6.5,6.89,6.52,1,622,0
29,54,772,2,3,10,disclosure,2.17,2.51,3.56,1,773,0
30,49,722,10,2,6,malice,3.3,1.73,4.56,1,723,1
31,59,885,4,2,7,dreamer,5.33,5.1,5.04,1,886,1
32,23,432,48,3,11,grandmother,6.43,6.66,6.08,1,433,0
33,8,160,100,2,7,meeting,5.2,4.8,5.0,1,161,0
34,45,692,26,3,9,interview,5.03,4.34,4.88,1,693,1
35,44,685,22,3,10,reflection,5.9,3.12,6.56,1,686,0
36,19,403,4,3,11,suppression,2.83,2.35,3.89,1,404,1
37,24,433,100,2,6,effort,3.33,2.22,5.75,1,434,0
38,28,527,1,4,9,disparity,2.7,2.07,3.52,1,528,0
39,58,866,41,2,6,humour,4.57,2.31,5.72,1,867,1
40,26,512,21,2,7,captive,5.27,5.8,5.39,1,513,0
41,14,350,8,3,8,bungalow,6.13,6.87,5.48,1,351,1
42,5,101,1,4,8,allegory,2.13,2.56,4.48,1,102,0
43,33,555,100,2,7,present,4.8,3.88,6.13,1,556,0
44,2,67,13,2,7,hearing,3.77,3.57,6.64,1,68,1
45,20,409,1,3,10,letterhead,5.13,6.45,4.92,1,410,0
46,34,558,1,3,8,rhapsody,4.23,4.38,5.12,1,559,1
47,11,259,23,3,9,sovereign,5.73,5.94,7.12,1,260,0
48,55,782,1,2,5,amour,5.5,2.65,5.08,1,783,1
49,4,93,45,2,6,vision,4.73,4.0,6.39,1,94,1
50,16,376,50,1,4,pipe,6.43,6.9,6.2,1,377,1
51,13,329,45,2,5,mercy,3.4,1.59,5.2,1,330,0
52,30,540,22,2,7,tribute,3.57,3.12,5.52,1,541,0
53,15,372,100,2,8,mountain,6.77,7.0,7.58,1,373,0
54,22,417,35,2,8,kindness,4.2,1.63,4.84,1,418,1
55,51,756,2,5,12,eccentricity,3.77,2.27,4.04,1,757,1
56,12,261,2,3,6,simile,2.9,3.97,5.25,1,262,0
57,32,552,25,2,7,speaker,5.67,6.13,5.54,1,553,1
58,46,696,25,2,7,prairie,6.47,6.8,8.16,1,697,1
59,47,703,40,2,6,insect,6.1,6.8,6.32,1,704,1
